15 7 6 12 24 9 20 23 11 16 22 19 17 27 26 25 3 13 1 14 10 2 28 21 18 5 29 4 8 
4 8 15 7 6 12 24 9 20 23 11 16 22 27 26 25 3 13 1 14 10 2 28 21 18 5 19 17 29 
10 2 6 12 24 9 20 23 11 16 22 19 17 27 26 25 3 29 4 8 15 7 28 21 18 5 13 1 14 
15 7 6 12 24 9 20 23 11 16 22 19 10 2 28 21 18 13 1 14 17 27 26 25 3 5 29 4 8 
29 4 8 15 7 6 20 23 11 16 22 19 17 27 26 25 3 13 1 14 10 2 12 24 9 28 21 18 5 
15 7 6 12 24 9 20 23 11 16 22 13 1 19 17 27 26 25 3 14 10 2 28 21 18 5 29 4 8 
36.255 54.5911
4 8 15 7 6 12 24 9 20 23 11 16 22 27 26 25 3 13 1 14 10 2 28 21 18 5 19 17 29 
4 8 15 7 6 12 24 9 20 23 25 3 13 1 14 11 16 22 27 26 10 2 28 21 18 5 19 17 29 
4 8 15 7 6 12 24 9 20 23 11 16 22 27 26 25 3 13 1 14 10 2 28 21 18 5 19 17 29 
20 23 11 16 22 27 24 29 4 8 15 7 6 12 26 25 3 13 1 14 10 2 28 21 18 5 19 17 9 
4 8 15 7 6 12 24 9 20 23 11 21 18 27 26 25 3 13 1 14 10 2 28 16 22 5 19 17 29 
22 27 26 25 3 12 24 9 20 23 11 29 4 8 15 7 6 13 1 14 10 2 28 21 18 5 19 17 16 
36.3305 54.7664
20 23 11 16 22 27 24 29 4 8 15 7 6 12 26 25 3 13 1 14 10 2 28 21 18 5 19 17 9 
7 6 12 26 25 21 18 5 19 17 9 20 23 11 16 22 3 13 1 14 10 2 28 27 24 29 4 8 15 
20 23 11 16 22 27 24 29 4 8 15 7 6 3 13 1 12 26 25 14 10 2 28 21 18 5 19 17 9 
29 4 11 16 19 17 9 20 23 8 15 7 6 12 26 25 3 13 1 14 10 2 28 21 18 5 22 27 24 
20 23 11 16 22 27 24 26 25 3 13 1 14 12 29 4 8 15 7 6 10 2 28 21 18 5 19 17 9 
20 23 11 16 22 27 24 29 10 2 15 7 6 12 26 25 3 13 1 14 4 8 28 21 18 5 19 17 9 
35.8355 52.662
20 23 11 16 22 27 24 29 4 8 15 7 6 3 13 1 12 26 25 14 10 2 28 21 18 5 19 17 9 
23 20 11 16 22 27 24 29 4 8 15 7 6 3 13 1 12 26 25 14 10 2 28 21 18 5 19 17 9 
20 23 11 16 22 27 24 29 4 8 15 7 6 3 13 19 1 12 26 25 14 10 2 28 21 18 5 17 9 
20 23 11 16 22 27 24 29 4 8 28 21 18 5 13 1 12 26 25 14 10 2 15 7 6 3 19 17 9 
20 23 11 16 22 27 24 29 4 8 28 21 18 15 7 6 3 13 1 12 26 25 14 10 2 5 19 17 9 
6 3 11 16 22 28 21 18 5 19 17 9 20 23 13 1 12 26 25 14 10 2 27 24 29 4 8 15 7 
