# T, L_min
1.32879 10.2001
1.3228 10.2001
1.31681 10.2001
1.31082 10.2001
1.30483 10.2001
1.29884 10.2001
1.29285 10.2001
1.28686 10.2001
1.28087 10.2001
1.27488 10.2001
1.26889 10.2001
1.2629 10.2001
1.25691 10.2001
1.25092 10.2001
1.24493 10.2001
1.23894 10.2001
1.23295 10.2001
1.22696 10.2001
1.22097 10.2001
1.21498 10.2001
1.20899 10.2001
1.203 10.2001
1.19701 10.2001
1.19102 10.2001
1.18503 10.2001
1.17904 10.2001
1.17305 10.2001
1.16706 10.2001
1.16107 10.2001
1.15508 10.2001
1.14909 10.2001
1.1431 10.2001
1.13711 10.2001
1.13112 10.2001
1.12513 10.2001
1.11914 10.2001
1.11315 10.2001
1.10716 10.2001
1.10117 10.2001
1.09518 10.2001
1.08919 10.2001
1.0832 10.2001
1.07721 10.2001
1.07122 10.2001
1.06523 10.2001
1.05924 10.2001
1.05325 10.2001
1.04726 10.2001
1.04127 10.2001
1.03528 10.2001
1.02929 10.2001
1.0233 10.2001
1.01731 10.2001
1.01132 10.2001
1.00533 10.2001
0.99934 10.2001
0.99335 10.2001
0.98736 10.2001
0.98137 10.2001
0.97538 10.2001
0.96939 10.2001
0.9634 10.2001
0.95741 10.2001
0.95142 10.2001
0.94543 10.2001
0.93944 10.2001
0.93345 10.2001
0.92746 10.2001
0.92147 10.2001
0.91548 10.2001
0.90949 10.2001
0.9035 10.2001
0.89751 10.2001
0.89152 10.2001
0.88553 10.2001
0.87954 10.2001
0.87355 10.2001
0.86756 10.2001
0.86157 10.2001
0.85558 10.2001
0.84959 10.2001
0.8436 10.2001
0.83761 10.2001
0.83162 10.2001
0.82563 10.2001
0.81964 10.2001
0.81365 10.2001
0.80766 10.2001
0.80167 10.2001
0.79568 10.2001
0.78969 10.2001
0.7837 10.2001
0.77771 10.2001
0.77172 10.2001
0.76573 10.2001
0.75974 10.2001
0.75375 10.2001
0.74776 10.2001
0.74177 10.2001
0.73578 10.2001
0.72979 10.2001
0.7238 10.2001
0.71781 10.2001
0.71182 10.2001
0.70583 10.2001
0.69984 10.1479
0.69385 10.1479
0.68786 10.1479
0.68187 10.1479
0.67588 10.1479
0.66989 10.1479
0.6639 10.1479
0.65791 10.1479
0.65192 10.1479
0.64593 10.1479
0.63994 10.1479
0.63395 10.1479
0.62796 10.1479
0.62197 10.1479
0.61598 10.0719
0.60999 10.0719
0.604 10.0719
0.59801 10.0719
0.59202 10.0719
0.58603 10.0719
0.58004 10.0719
0.57405 9.73109
0.56806 9.73109
0.56207 9.73109
0.55608 9.73109
0.55009 9.73109
0.5441 9.73109
0.53811 9.73109
0.53212 9.73109
0.52613 9.73109
