# T, L_min
2.2056 10.5372
2.19562 10.5372
2.18564 10.5372
2.17566 10.5372
2.16568 10.5372
2.1557 10.5372
2.14572 10.5372
2.13574 10.5372
2.12576 10.5372
2.11578 10.5372
2.1058 10.5372
2.09582 10.5372
2.08584 10.5372
2.07586 10.5372
2.06588 10.5372
2.0559 10.5372
2.04592 10.5372
2.03594 10.5372
2.02596 10.5372
2.01598 10.5372
2.006 10.5372
1.99602 10.5372
1.98604 10.5372
1.97606 10.5372
1.96608 10.5372
1.9561 10.5372
1.94612 10.5372
1.93614 10.5372
1.92616 10.5372
1.91618 10.5372
1.9062 10.5372
1.89622 10.5372
1.88624 10.5372
1.87626 10.5372
1.86628 10.5372
1.8563 10.5372
1.84632 10.5372
1.83634 10.5372
1.82636 10.5372
1.81638 10.5372
1.8064 10.5372
1.79642 10.5372
1.78644 10.5372
1.77646 10.5372
1.76648 10.5372
1.7565 10.5372
1.74652 10.5372
1.73654 10.5372
1.72656 10.5372
1.71658 10.5372
1.7066 10.5372
1.69662 10.5372
1.68664 10.5372
1.67666 10.5372
1.66668 10.5372
1.6567 10.5372
1.64672 10.5372
1.63674 10.5372
1.62676 10.5372
1.61678 10.5372
1.6068 10.5372
1.59682 10.5372
1.58684 10.5372
1.57686 10.5372
1.56688 10.5372
1.5569 10.5372
1.54692 10.5372
1.53694 10.5372
1.52696 10.5372
1.51698 10.5372
1.507 10.5372
1.49702 10.5372
1.48704 10.5372
1.47706 10.5372
1.46708 10.5372
1.4571 10.5372
1.44712 10.5372
1.43714 10.5372
1.42716 10.5372
1.41718 10.5372
1.4072 10.5372
1.39722 10.5372
1.38724 10.5372
1.37726 10.5372
1.36728 10.5372
1.3573 10.5372
1.34732 10.5372
1.33734 10.5372
1.32736 10.5372
1.31738 10.5372
1.3074 10.5372
1.29742 10.5372
1.28744 10.5372
1.27746 10.5372
1.26748 10.5372
1.2575 10.5372
1.24752 10.5372
1.23754 10.5372
1.22756 10.5372
1.21758 10.5372
1.2076 10.5372
1.19762 10.5372
1.18764 10.5372
1.17766 10.5372
1.16768 10.5372
1.1577 10.5372
1.14772 10.5372
1.13774 10.5372
1.12776 10.5372
1.11778 10.5372
1.1078 10.5372
1.09782 10.5372
1.08784 10.5372
1.07786 10.5372
1.06788 10.5372
1.0579 10.5372
1.04792 10.5372
1.03794 10.5372
1.02796 10.5372
1.01798 10.5372
1.008 10.5372
0.99802 10.5372
0.98804 10.5372
0.97806 10.5372
0.96808 10.5372
0.9581 10.5372
0.94812 10.5372
0.93814 10.5372
0.92816 10.5372
0.91818 10.5372
0.9082 10.5372
0.89822 10.5372
0.88824 10.5372
0.87826 10.5372
0.86828 10.5372
0.8583 10.5372
0.84832 10.5372
0.83834 10.5372
0.82836 10.5372
0.81838 10.5372
0.8084 10.5372
0.79842 10.5372
0.78844 10.3661
0.77846 10.3661
0.76848 10.3661
0.7585 10.3661
0.74852 10.3661
0.73854 10.3661
0.72856 10.3661
0.71858 10.3661
0.7086 10.2668
0.69862 10.2668
0.68864 10.2668
0.67866 10.2668
0.66868 10.2668
0.6587 10.2668
0.64872 10.2668
0.63874 10.2668
0.62876 10.2668
0.61878 10.2668
0.6088 10.2668
0.59882 10.2668
0.58884 10.2668
0.57886 10.2668
0.56888 10.2668
0.5589 10.2668
0.54892 10.2668
0.53894 10.2668
0.52896 10.2668
0.51898 10.2668
0.509 10.2668
0.49902 10.2668
0.48904 10.2147
0.47906 10.2147
0.46908 10.0994
0.4591 10.0994
0.44912 10.0994
0.43914 9.71376
0.42916 9.71376
0.41918 9.71376
0.4092 8.68996
0.39922 8.68996
0.38924 8.68996
0.37926 8.68996
0.36928 8.68996
0.3593 8.68996
0.34932 8.68996
0.33934 8.68996
0.32936 8.68996
0.31938 8.68996
0.3094 8.68996
0.29942 8.68996
0.28944 8.68996
0.27946 8.68996
0.26948 8.68996
0.2595 8.468
0.24952 8.468
0.23954 8.468
0.22956 8.37039
0.21958 8.37039
0.2096 7.78536
0.19962 7.78536
0.18964 7.78536
0.17966 7.78536
0.16968 6.9738
0.1597 6.9738
0.14972 6.9738
0.13974 6.90196
0.12976 6.90196
0.11978 6.53477
0.1098 5.92881
0.09982 5.92881
0.08984 5.66446
0.07986 5.66446
0.06988 5.66446
0.0599 5.61634
0.04992 5.47309
0.03994 5.4536
0.02996 5.36036
0.01998 5.34107
0.01 5.34107
