# T, L_min
2.12576 18.7111
2.11578 18.7111
2.1058 18.7111
2.09582 18.7111
2.08584 18.7111
2.07586 18.7111
2.06588 18.7111
2.0559 18.7111
2.04592 18.7111
2.03594 18.7111
2.02596 18.7111
2.01598 18.7111
2.006 18.7111
1.99602 18.7111
1.98604 18.7111
1.97606 18.7111
1.96608 18.7111
1.9561 18.7111
1.94612 18.7111
1.93614 18.7111
1.92616 18.7111
1.91618 18.7111
1.9062 18.7111
1.89622 18.7111
1.88624 18.7111
1.87626 18.7111
1.86628 18.7111
1.8563 18.7111
1.84632 18.7111
1.83634 18.7111
1.82636 18.7111
1.81638 18.7111
1.8064 18.7111
1.79642 18.7111
1.78644 18.7111
1.77646 18.7111
1.76648 18.7111
1.7565 18.7111
1.74652 18.7111
1.73654 18.7111
1.72656 18.7111
1.71658 18.7111
1.7066 18.7111
1.69662 18.7111
1.68664 18.7111
1.67666 18.7111
1.66668 18.7111
1.6567 18.7111
1.64672 18.7111
1.63674 18.7111
1.62676 18.7111
1.61678 18.7111
1.6068 18.7111
1.59682 18.7111
1.58684 18.7111
1.57686 18.7111
1.56688 18.7111
1.5569 18.7111
1.54692 18.7111
1.53694 18.7111
1.52696 18.7111
1.51698 18.7111
1.507 18.7111
1.49702 18.7111
1.48704 18.7111
1.47706 18.7111
1.46708 18.7111
1.4571 18.7111
1.44712 18.7111
1.43714 18.7111
1.42716 18.7111
1.41718 18.7111
1.4072 18.7111
1.39722 18.3644
1.38724 18.3644
1.37726 18.3644
1.36728 18.3644
1.3573 18.3644
1.34732 18.3644
1.33734 18.3644
1.32736 18.3644
1.31738 17.291
1.3074 17.291
1.29742 17.291
1.28744 15.1912
1.27746 15.1912
1.26748 15.1912
1.2575 15.1912
1.24752 15.1912
1.23754 15.1912
1.22756 15.1912
1.21758 15.1912
1.2076 15.1912
1.19762 15.1912
1.18764 15.1912
1.17766 15.1912
1.16768 15.1912
1.1577 15.1912
1.14772 15.1912
1.13774 15.1912
1.12776 15.1912
1.11778 15.1912
1.1078 15.1912
1.09782 15.1912
1.08784 15.1912
1.07786 15.1912
1.06788 15.1912
1.0579 15.1912
1.04792 15.1912
1.03794 15.1912
1.02796 15.1912
1.01798 15.1912
1.008 15.1912
0.99802 15.1912
0.98804 15.1912
0.97806 15.1912
0.96808 15.1912
0.9581 15.1912
0.94812 15.1912
0.93814 15.1912
0.92816 15.1912
0.91818 15.1912
0.9082 15.1912
0.89822 15.1912
0.88824 15.1912
0.87826 15.1912
0.86828 15.1912
0.8583 15.1912
0.84832 15.1912
0.83834 15.1912
0.82836 15.1912
0.81838 15.1912
0.8084 15.1912
0.79842 15.1912
0.78844 15.1912
0.77846 15.1912
0.76848 14.4569
0.7585 14.4569
0.74852 14.4569
0.73854 14.4569
0.72856 14.4569
0.71858 14.4569
0.7086 14.4569
0.69862 14.4569
0.68864 14.4569
0.67866 13.6272
0.66868 13.6272
0.6587 13.6272
0.64872 13.6272
0.63874 13.6272
0.62876 13.6272
0.61878 13.6272
0.6088 13.6272
0.59882 13.6272
0.58884 13.6272
0.57886 13.3958
0.56888 13.1642
0.5589 13.1642
0.54892 13.1642
0.53894 13.1642
0.52896 13.1642
0.51898 12.354
0.509 12.354
0.49902 12.354
0.48904 12.354
0.47906 12.354
0.46908 11.0715
0.4591 11.0715
0.44912 11.0715
0.43914 11.0715
0.42916 10.5178
0.41918 10.5178
0.4092 10.5178
0.39922 10.5178
0.38924 10.3779
0.37926 9.22081
0.36928 9.22081
0.3593 9.22081
0.34932 9.14601
0.33934 9.14601
0.32936 9.14601
0.31938 8.25827
0.3094 8.25827
0.29942 8.25827
0.28944 8.25827
0.27946 8.25827
0.26948 8.25827
0.2595 8.25827
0.24952 8.25827
0.23954 8.04486
0.22956 8.04486
0.21958 6.86845
0.2096 6.86845
0.19962 6.86845
0.18964 6.86845
0.17966 6.86845
0.16968 6.39619
0.1597 6.39619
0.14972 6.39619
0.13974 6.39619
0.12976 6.39619
0.11978 6.39619
0.1098 6.20103
0.09982 6.20103
0.08984 6.20103
0.07986 6.20103
0.06988 6.20103
0.0599 6.20103
0.04992 6.20103
0.03994 6.20103
0.02996 6.20103
0.01998 6.20103
0.01 6.20103
